open,close,high,low,vol,amount,year,month,day,hour,minute,datetime,volume,daily_return,cumulative_return,portfolio_value,peak,drawdown
250.0,212.4,295.0,205.6,242376.0,5645861888.0,2020,7,20,15,0,2020-07-20 15:00,242376.0,0.0,0.0,100000.0,100000.0,0.0
208.0,274.0,285.6,202.0,175848.0,4292970752.0,2020,7,21,15,0,2020-07-21 15:00,175848.0,0.29001883239171367,0.29001883239171367,129001.88323917137,129001.88323917137,0.0
260.0,281.0,284.33,257.77,127018.0,3450335232.0,2020,7,22,15,0,2020-07-22 15:00,127018.0,0.025547445255474477,0.32297551789077206,132297.5517890772,132297.5517890772,0.0
274.92,281.5,297.77,268.0,99202.0,2791441920.0,2020,7,23,15,0,2020-07-23 15:00,99202.0,0.001779359430605032,0.3253295668549905,132532.95668549906,132532.95668549906,0.0
273.0,259.33,276.0,240.44,113852.0,2940728576.0,2020,7,24,15,0,2020-07-24 15:00,113852.0,-0.07875666074600363,0.22095103578154407,122095.1035781544,132532.95668549906,-0.07875666074600368
252.28,234.01,257.9,227.94,83388.0,2022044416.0,2020,7,27,15,0,2020-07-27 15:00,83388.0,-0.09763621640380982,0.10174199623352154,110174.19962335215,132532.95668549906,-0.16870337477797523
236.0,238.64,243.8,227.5,59775.0,1410915456.0,2020,7,28,15,0,2020-07-28 15:00,59775.0,0.01978547925302343,0.12354048964218456,112354.04896421845,132532.95668549906,-0.1522557726465364
234.53,241.5,245.78,229.66,54732.0,1312286208.0,2020,7,29,15,0,2020-07-29 15:00,54732.0,0.011984579282601437,0.13700564971751406,113700.5649717514,132532.95668549906,-0.1420959147424512
240.0,243.17,254.99,236.36,61808.0,1516837888.0,2020,7,30,15,0,2020-07-30 15:00,61808.0,0.006915113871635459,0.1448681732580035,114486.81732580035,132532.95668549906,-0.13616341030195397
238.01,249.6,255.55,237.1,56294.0,1392176384.0,2020,7,31,15,0,2020-07-31 15:00,56294.0,0.026442406546860253,0.17514124293785294,117514.1242937853,132532.95668549906,-0.1133214920071049
250.01,249.5,257.88,247.01,69721.0,1760964736.0,2020,8,3,15,0,2020-08-03 15:00,69721.0,-0.0004006410256409687,0.1746704331450093,117467.04331450093,132532.95668549906,-0.11367673179396098
250.97,235.0,252.88,232.99,59089.0,1424160512.0,2020,8,4,15,0,2020-08-04 15:00,59089.0,-0.05811623246492981,0.10640301318267409,110640.3013182674,132532.95668549906,-0.16518650088809958
246.0,236.92,246.0,236.79,40822.0,985070016.0,2020,8,5,15,0,2020-08-05 15:00,40822.0,0.008170212765957308,0.11544256120527274,111544.25612052728,132532.95668549906,-0.158365896980462
233.96,243.83,247.45,231.8,50131.0,1211258368.0,2020,8,6,15,0,2020-08-06 15:00,50131.0,0.029165963194327293,0.1479755178907718,114797.55178907717,132532.95668549906,-0.13381882770870365
240.98,227.44,240.98,223.37,48537.0,1119390464.0,2020,8,7,15,0,2020-08-07 15:00,48537.0,-0.06721896403231764,0.07080979284369082,107080.97928436908,132532.95668549906,-0.19204262877442296
219.99,222.5,225.89,218.0,25177.0,556920384.0,2020,8,10,15,0,2020-08-10 15:00,25177.0,-0.021720014069644744,0.04755178907721258,104755.17890772126,132532.95668549906,-0.2095914742451156
220.88,221.49,226.3,219.1,22435.0,499535712.0,2020,8,11,15,0,2020-08-11 15:00,22435.0,-0.004539325842696562,0.042796610169491434,104279.66101694915,132532.95668549906,-0.21317939609236236
220.33,217.76,222.0,213.5,20281.0,437985760.0,2020,8,12,15,0,2020-08-12 15:00,20281.0,-0.016840489412614623,0.02523540489642162,102523.54048964217,132532.95668549906,-0.22642984014209602
219.0,212.5,219.6,212.0,17440.0,375895488.0,2020,8,13,15,0,2020-08-13 15:00,17440.0,-0.024155033063923526,0.00047080979284364055,100047.08097928436,132532.95668549906,-0.24511545293072826
212.33,212.68,213.9,207.5,16535.0,348869120.0,2020,8,14,15,0,2020-08-14 15:00,16535.0,0.000847058823529423,0.0013182674199623268,100131.82674199624,132532.95668549906,-0.24447602131438717
213.0,219.08,219.8,209.68,20562.0,443435968.0,2020,8,17,15,0,2020-08-17 15:00,20562.0,0.030092157231521588,0.03145009416195865,103145.00941619587,132532.95668549906,-0.2217406749555949
219.18,213.81,219.18,212.3,18394.0,394749728.0,2020,8,18,15,0,2020-08-18 15:00,18394.0,-0.02405513967500461,0.006638418079096153,100663.84180790962,132532.95668549906,-0.24046181172291287
213.88,205.2,214.5,204.87,19689.0,411339040.0,2020,8,19,15,0,2020-08-19 15:00,19689.0,-0.040269398063701445,-0.03389830508474567,96610.16949152543,132532.95668549906,-0.2710479573712255
204.0,201.51,207.27,200.11,16340.0,331414016.0,2020,8,20,15,0,2020-08-20 15:00,16340.0,-0.017982456140350878,-0.05127118644067785,94872.88135593222,132532.95668549906,-0.28415630550621657
202.5,204.95,205.62,201.11,10811.0,219802672.0,2020,8,21,15,0,2020-08-21 15:00,10811.0,0.017071113096124302,-0.035075329566854885,96492.46704331451,132532.95668549906,-0.27193605683836586
206.3,197.9,207.84,196.5,20422.0,407457568.0,2020,8,24,15,0,2020-08-24 15:00,20422.0,-0.034398633813125024,-0.06826741996233499,93173.2580037665,132532.95668549906,-0.2969804618117227
198.38,189.98,199.88,189.66,26476.0,513330944.0,2020,8,25,15,0,2020-08-25 15:00,26476.0,-0.040020212228398244,-0.1055555555555554,89444.44444444445,132532.95668549906,-0.3251154529307282
189.66,176.4,190.92,173.51,39256.0,711521280.0,2020,8,26,15,0,2020-08-26 15:00,39256.0,-0.07148120854826812,-0.16949152542372858,83050.84745762714,132532.95668549906,-0.37335701598579024
177.2,182.56,188.87,170.51,32637.0,586419648.0,2020,8,27,15,0,2020-08-27 15:00,32637.0,0.0349206349206348,-0.14048964218455728,85951.03578154427,132532.95668549906,-0.35147424511545283
177.73,174.28,177.88,168.02,35135.0,604292864.0,2020,8,28,15,0,2020-08-28 15:00,35135.0,-0.045354951796669596,-0.17947269303201496,82052.7306967985,132532.95668549906,-0.3808880994671402
173.0,170.0,177.2,170.0,22032.0,382994304.0,2020,8,31,15,0,2020-08-31 15:00,22032.0,-0.024558182235483117,-0.1996233521657249,80037.6647834275,132532.95668549906,-0.3960923623445825
170.21,171.18,173.8,169.03,15941.0,273420608.0,2020,9,1,15,0,2020-09-01 15:00,15941.0,0.006941176470588228,-0.19406779661016937,80593.22033898307,132532.95668549906,-0.39190053285968013
