open,close,high,low,vol,amount,year,month,day,hour,minute,datetime,volume
250.0,212.4,295.0,205.6,242376.0,5645861888.0,2020,7,20,15,0,2020-07-20 15:00,242376.0
208.0,274.0,285.6,202.0,175848.0,4292970752.0,2020,7,21,15,0,2020-07-21 15:00,175848.0
260.0,281.0,284.33,257.77,127018.0,3450335232.0,2020,7,22,15,0,2020-07-22 15:00,127018.0
274.92,281.5,297.77,268.0,99202.0,2791441920.0,2020,7,23,15,0,2020-07-23 15:00,99202.0
273.0,259.33,276.0,240.44,113852.0,2940728576.0,2020,7,24,15,0,2020-07-24 15:00,113852.0
252.28,234.01,257.9,227.94,83388.0,2022044416.0,2020,7,27,15,0,2020-07-27 15:00,83388.0
236.0,238.64,243.8,227.5,59775.0,1410915456.0,2020,7,28,15,0,2020-07-28 15:00,59775.0
234.53,241.5,245.78,229.66,54732.0,1312286208.0,2020,7,29,15,0,2020-07-29 15:00,54732.0
240.0,243.17,254.99,236.36,61808.0,1516837888.0,2020,7,30,15,0,2020-07-30 15:00,61808.0
238.01,249.6,255.55,237.1,56294.0,1392176384.0,2020,7,31,15,0,2020-07-31 15:00,56294.0
250.01,249.5,257.88,247.01,69721.0,1760964736.0,2020,8,3,15,0,2020-08-03 15:00,69721.0
250.97,235.0,252.88,232.99,59089.0,1424160512.0,2020,8,4,15,0,2020-08-04 15:00,59089.0
246.0,236.92,246.0,236.79,40822.0,985070016.0,2020,8,5,15,0,2020-08-05 15:00,40822.0
233.96,243.83,247.45,231.8,50131.0,1211258368.0,2020,8,6,15,0,2020-08-06 15:00,50131.0
240.98,227.44,240.98,223.37,48537.0,1119390464.0,2020,8,7,15,0,2020-08-07 15:00,48537.0
219.99,222.5,225.89,218.0,25177.0,556920384.0,2020,8,10,15,0,2020-08-10 15:00,25177.0
220.88,221.49,226.3,219.1,22435.0,499535712.0,2020,8,11,15,0,2020-08-11 15:00,22435.0
220.33,217.76,222.0,213.5,20281.0,437985760.0,2020,8,12,15,0,2020-08-12 15:00,20281.0
219.0,212.5,219.6,212.0,17440.0,375895488.0,2020,8,13,15,0,2020-08-13 15:00,17440.0
212.33,212.68,213.9,207.5,16535.0,348869120.0,2020,8,14,15,0,2020-08-14 15:00,16535.0
213.0,219.08,219.8,209.68,20562.0,443435968.0,2020,8,17,15,0,2020-08-17 15:00,20562.0
219.18,213.81,219.18,212.3,18394.0,394749728.0,2020,8,18,15,0,2020-08-18 15:00,18394.0
213.88,205.2,214.5,204.87,19689.0,411339040.0,2020,8,19,15,0,2020-08-19 15:00,19689.0
204.0,201.51,207.27,200.11,16340.0,331414016.0,2020,8,20,15,0,2020-08-20 15:00,16340.0
202.5,204.95,205.62,201.11,10811.0,219802672.0,2020,8,21,15,0,2020-08-21 15:00,10811.0
206.3,197.9,207.84,196.5,20422.0,407457568.0,2020,8,24,15,0,2020-08-24 15:00,20422.0
198.38,189.98,199.88,189.66,26476.0,513330944.0,2020,8,25,15,0,2020-08-25 15:00,26476.0
189.66,176.4,190.92,173.51,39256.0,711521280.0,2020,8,26,15,0,2020-08-26 15:00,39256.0
177.2,182.56,188.87,170.51,32637.0,586419648.0,2020,8,27,15,0,2020-08-27 15:00,32637.0
177.73,174.28,177.88,168.02,35135.0,604292864.0,2020,8,28,15,0,2020-08-28 15:00,35135.0
173.0,170.0,177.2,170.0,22032.0,382994304.0,2020,8,31,15,0,2020-08-31 15:00,22032.0
170.21,171.18,173.8,169.03,15941.0,273420608.0,2020,9,1,15,0,2020-09-01 15:00,15941.0
170.99,167.76,172.35,167.12,14696.0,248042528.0,2020,9,2,15,0,2020-09-02 15:00,14696.0
167.9,170.09,172.56,164.28,25847.0,437472224.0,2020,9,3,15,0,2020-09-03 15:00,25847.0
166.78,174.53,182.3,166.78,34315.0,606661824.0,2020,9,4,15,0,2020-09-04 15:00,34315.0
170.4,163.52,172.8,163.52,28282.0,473534240.0,2020,9,7,15,0,2020-09-07 15:00,28282.0
163.51,160.86,163.51,160.01,14651.0,236398576.0,2020,9,8,15,0,2020-09-08 15:00,14651.0
159.0,160.68,165.9,155.0,22428.0,359860672.0,2020,9,9,15,0,2020-09-09 15:00,22428.0
